NEGERI,PPD,KODSEKOLAH,NAMASEKOLAH,NAMASEKOLAH_C,ALAMATSURAT,POSKODSURAT,BANDARSURAT,TARIKHTUBUHSEKOLAH,KOORDINATXX,KOORDINATYY
PERAK,PPD KUALA KANGSAR,ABC4096,SEKOLAH JENIS KEBANGSAAN (CINA) JERLUN,瑶伦华小,KAMPUNG BARU JERLUN,33000,KUALA KANGSAR,1/9/1933,100.9116501,4.731621762
PERAK,PPD KUALA KANGSAR,ABC4097,SEKOLAH JENIS KEBANGSAAN (CINA) MANONG,万浓华小,JALAN BESAR MANONG,33800,MANONG,1/1/1937,100.8822414,4.59002827
PERAK,PPD KUALA KANGSAR,ABC4100,SEKOLAH JENIS KEBANGSAAN (CINA) SEY WAH,永梧时化华小,"NO.70,DEPAN BALAI POLIS",33600,ENGGOR,1/1/1925,100.9658498,4.835202332
PERAK,PPD KUALA KANGSAR,ABC4101,SEKOLAH JENIS KEBANGSAAN (CINA) SALAK BAHRU,新沙叻华小,SALAK BAHRU,31050,SALAK UTARA,1/1/1936,100.9950846,4.842987514
PERAK,PPD KUALA KANGSAR,ABC4102,SEKOLAH JENIS KEBANGSAAN (CINA) HING WA,沙叻兴华华小,PEKAN SALAK UTARA,31050,SALAK UTARA,1/1/2002,101.0091457,4.835582416
PERAK,PPD KUALA KANGSAR,ABC4103,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI BULOH,和丰竹笆华小,KG.BARU SG.BULOH,31100,SUNGAI SIPUT (U),16/1/1951,101.0687983,4.818559955
PERAK,PPD KUALA KANGSAR,ABC4104,SEKOLAH JENIS KEBANGSAAN (CINA) SHING CHUNG,和丰兴中华小,BELAKANG PEKAN,31100,SUNGAI SIPUT (U),1/1/1912,101.0712568,4.822598555
PERAK,PPD KUALA KANGSAR,ABC4105,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG JALONG,和丰新邦椰朗华小,KAMPUNG BARU SIMPANG JALONG,31100,SG. SIPUT (U),10/7/1951,101.0896995,4.824414443
PERAK,PPD KUALA KANGSAR,ABC4106,SEKOLAH JENIS KEBANGSAAN (CINA) LINTANG,和丰连登华小,LOT 3926 KAMPUNG LINTANG,31110,SUNGAI SIPUT (U),1/1/1938,101.104801,4.93637
PERAK,PPD KUALA KANGSAR,ABC4107,SEKOLAH JENIS KEBANGSAAN (CINA) LASAH,和丰叻沙华小,LASAH,31110,SUNGAI SIPUT (U),1/1/1959,101.1205107,4.95282124
PERAK,PPD KUALA KANGSAR,ABC4108,SEKOLAH JENIS KEBANGSAAN (CINA) RIMBA PANJANG,和丰林玛班映华小,KAMPUNG RIMBA PANJANG,31100,SUNGAI SIPUT (U),1/1/1935,101.1014231,4.796335548
PERAK,PPD HILIR PERAK,ABC5081,SEKOLAH JENIS KEBANGSAAN (CINA) WAH KEOW,冷甲华侨华小,LOT 4987 JALAN CHUI CHAK,36700,LANGKAP,31/12/1934,101.153458,4.073042
PERAK,PPD HILIR PERAK,ABC5082,SEKOLAH JENIS KEBANGSAAN (CINA) PELAWAN,巴拉湾华小,KAMPUNG PELAWAN,36700,LANGKAP,31/12/1950,101.186965,4.067969
PERAK,PPD HILIR PERAK,ABC5083,SEKOLAH JENIS KEBANGSAAN (CINA) BATU DUABELAS,美罗路十二碑华小,JALAN BIDOR,36020,TELUK INTAN,31/12/1946,101.175174,4.003467
PERAK,PPD HILIR PERAK,ABC5084,SEKOLAH JENIS KEBANGSAAN (CINA) CHUI CHAK,水闸华小,JALAN SUNGAI,36700,LANGKAP,4/5/1950,101.170205,4.047425
PERAK,PPD HILIR PERAK,ABC5085,SEKOLAH JENIS KEBANGSAAN (CINA) SAN MIN 1,安顺三民华小一校,JALAN PUTRA,36000,TELUK INTAN,12/2/1929,101.017294,4.028293
PERAK,PPD HILIR PERAK,ABC5086,SEKOLAH JENIS KEBANGSAAN (CINA) SAN MIN 2,安顺三民华小二校,JALAN PUTRA,36000,TELUK INTAN,12/2/1929,101.017518,4.028163
PERAK,PPD HILIR PERAK,ABC5087,SEKOLAH JENIS KEBANGSAAN (CINA) PHOOI YONG,安顺培养华小,NO: 247 JALAN PASIR BEDAMAR,36000,TELUK INTAN,30/12/1954,101.008633,4.032287
PERAK,PPD HILIR PERAK,ABC5088,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG MIN,安顺钟民华小,1997 JALAN PADANG TEMBAK,36000,TELUK INTAN,7/7/1947,101.013579,4.001753
PERAK,PPD HILIR PERAK,ABC5089,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,双溪泗里中华华小,KAMPUNG SUNGAI SULI,36008,TELUK INTAN,29/7/1956,101.032563,4.043379
PERAK,PPD LARUT/MATANG/SELAMA,ABC6074,SEKOLAH JENIS KEBANGSAAN (CINA) HUA LIAN (1),太平华联华小一校,JALAN IZUDDIN SHAH,34000,TAIPING,1/1/1953,100.7251154,4.854145401
